,product_id,ordered_at,quantity_ordered,old_price,new_price,updated_at
160,4085861,2018-09-16 19:25:00,1,62500,58000,2018-09-15 03:51:00
161,4085861,2018-09-16 19:25:00,1,67000,62500,2018-09-13 06:43:00
162,4085861,2018-09-15 13:10:00,1,53500,52000,2018-09-17 22:59:00
163,4085861,2018-09-15 13:10:00,1,53500,67000,2018-09-12 03:51:00
164,4085861,2018-09-15 13:10:00,1,58000,53500,2018-09-17 03:35:00
165,4085861,2018-09-15 13:10:00,1,60000,53500,2018-09-11 08:51:00
166,4085861,2018-09-15 13:10:00,1,62500,58000,2018-09-15 03:51:00
167,4085861,2018-09-15 13:10:00,1,67000,62500,2018-09-13 06:43:00
168,4085861,2018-09-16 23:19:00,1,53500,52000,2018-09-17 22:59:00
169,4085861,2018-09-16 23:19:00,1,53500,67000,2018-09-12 03:51:00
170,4085861,2018-09-16 23:19:00,1,58000,53500,2018-09-17 03:35:00
171,4085861,2018-09-16 23:19:00,1,60000,53500,2018-09-11 08:51:00
172,4085861,2018-09-16 23:19:00,1,62500,58000,2018-09-15 03:51:00
173,4085861,2018-09-16 23:19:00,1,67000,62500,2018-09-13 06:43:00
174,4085861,2018-09-16 03:01:00,1,53500,52000,2018-09-17 22:59:00
175,4085861,2018-09-16 03:01:00,1,53500,67000,2018-09-12 03:51:00
176,4085861,2018-09-16 03:01:00,1,58000,53500,2018-09-17 03:35:00
177,4085861,2018-09-16 03:01:00,1,60000,53500,2018-09-11 08:51:00
178,4085861,2018-09-16 03:01:00,1,62500,58000,2018-09-15 03:51:00
179,4085861,2018-09-16 03:01:00,1,67000,62500,2018-09-13 06:43:00
180,4085861,2018-09-15 22:10:00,1,53500,52000,2018-09-17 22:59:00
181,4085861,2018-09-15 22:10:00,1,53500,67000,2018-09-12 03:51:00
182,4085861,2018-09-15 22:10:00,1,58000,53500,2018-09-17 03:35:00
183,4085861,2018-09-15 22:10:00,1,60000,53500,2018-09-11 08:51:00
184,4085861,2018-09-15 22:10:00,1,62500,58000,2018-09-15 03:51:00
185,4085861,2018-09-15 22:10:00,1,67000,62500,2018-09-13 06:43:00
186,4085861,2018-09-16 07:42:00,1,53500,52000,2018-09-17 22:59:00
187,4085861,2018-09-16 07:42:00,1,53500,67000,2018-09-12 03:51:00
188,4085861,2018-09-16 07:42:00,1,58000,53500,2018-09-17 03:35:00
189,4085861,2018-09-16 07:42:00,1,60000,53500,2018-09-11 08:51:00
190,4085861,2018-09-16 07:42:00,1,62500,58000,2018-09-15 03:51:00
191,4085861,2018-09-16 07:42:00,1,67000,62500,2018-09-13 06:43:00
192,4085861,2018-09-16 15:54:00,1,53500,52000,2018-09-17 22:59:00
193,4085861,2018-09-16 15:54:00,1,53500,67000,2018-09-12 03:51:00
194,4085861,2018-09-16 15:54:00,1,58000,53500,2018-09-17 03:35:00
195,4085861,2018-09-16 15:54:00,1,60000,53500,2018-09-11 08:51:00
196,4085861,2018-09-16 15:54:00,1,62500,58000,2018-09-15 03:51:00
197,4085861,2018-09-16 15:54:00,1,67000,62500,2018-09-13 06:43:00
198,4085861,2018-09-16 18:25:00,1,53500,52000,2018-09-17 22:59:00
199,4085861,2018-09-16 18:25:00,1,53500,67000,2018-09-12 03:51:00
200,4085861,2018-09-16 18:25:00,1,58000,53500,2018-09-17 03:35:00
201,4085861,2018-09-16 18:25:00,1,60000,53500,2018-09-11 08:51:00
202,4085861,2018-09-16 18:25:00,1,62500,58000,2018-09-15 03:51:00
203,4085861,2018-09-16 18:25:00,1,67000,62500,2018-09-13 06:43:00
204,4085861,2018-09-16 22:48:00,1,53500,52000,2018-09-17 22:59:00
205,4085861,2018-09-16 22:48:00,1,53500,67000,2018-09-12 03:51:00
206,4085861,2018-09-16 22:48:00,1,58000,53500,2018-09-17 03:35:00
207,4085861,2018-09-16 22:48:00,1,60000,53500,2018-09-11 08:51:00
208,4085861,2018-09-16 22:48:00,1,62500,58000,2018-09-15 03:51:00
209,4085861,2018-09-16 22:48:00,1,67000,62500,2018-09-13 06:43:00
210,4085861,2018-09-15 19:35:00,1,53500,52000,2018-09-17 22:59:00
211,4085861,2018-09-15 19:35:00,1,53500,67000,2018-09-12 03:51:00
212,4085861,2018-09-15 19:35:00,1,58000,53500,2018-09-17 03:35:00
213,4085861,2018-09-15 19:35:00,1,60000,53500,2018-09-11 08:51:00
214,4085861,2018-09-15 19:35:00,1,62500,58000,2018-09-15 03:51:00
215,4085861,2018-09-15 19:35:00,1,67000,62500,2018-09-13 06:43:00
216,4085861,2018-09-15 16:25:00,1,53500,52000,2018-09-17 22:59:00
217,4085861,2018-09-15 16:25:00,1,53500,67000,2018-09-12 03:51:00
218,4085861,2018-09-15 16:25:00,1,58000,53500,2018-09-17 03:35:00
219,4085861,2018-09-15 16:25:00,1,60000,53500,2018-09-11 08:51:00
220,4085861,2018-09-15 16:25:00,1,62500,58000,2018-09-15 03:51:00
